VS,VS_1_2011-10-24,VSPERF,
VS,VS_2_2011-10-24,VSDAT,VSSTDTC
VS,VS_3_2011-10-24,VSTIM,VSSTDTC
VS,VS_4_2011-10-24,VSDTC,VSDTC
VS,VS_5_2011-10-24,VSSPID,VSSPID
VS,VS_6_2011-10-24,VSTPT,VSTPT
VS,VS_7_2011-10-24,VSTEST,VSTEST
VS,VS_8_2011-10-24,VSORRES,VSORRES
VS,VS_9_2011-10-24,VSORRESU,VSORRESU
VS,VS_10_2011-10-24,VSCLSIG,SUPPVS.QNAM
VS,VS_11_2011-10-24,VSLOC,VSLOC
VS,VS_12_2011-10-24,VSPOS,VSPOS
VS,VS_13_2011-10-24,HEIGHT.VSPERF,
VS,VS_14_2011-10-24,HEIGHT.VSORRES,VSORRES+VSORRESU
VS,VS_15_2011-10-24,HEIGHT.VSCLSIG,SUPPVS.QNAM
VS,VS_16_2011-10-24,WEIGHT.VSPERF,
VS,VS_17_2011-10-24,WEIGHT.VSORRES,VSORRES+VSORRESU
VS,VS_18_2011-10-24,WEIGHT.VSCLSIG,SUPPVS.QNAM
VS,VS_19_2011-10-24,BP.VSPERF,
VS,VS_20_2011-10-24,BP.SYSBP.VSORRES,VSORRES+VSORRESU
VS,VS_21_2011-10-24,BP.DIABP.VSORRES,VSORRES+VSORRESU
VS,VS_22_2011-10-24,BP.VSLOC,VSLOC
VS,VS_23_2011-10-24,BP.VSPOS,VSPOS
VS,VS_24_2011-10-24,BP.VSCLSIG,SUPPVS.QNAM
VS,VS_25_2011-10-24,BP.VSTIM,VSSTDTC
VS,VS_26_2011-10-24,PULSE.VSPERF,
VS,VS_27_2011-10-24,PULSE.VSORRES,VSORRES+VSORRESU
VS,VS_28_2011-10-24,PULSE.VSLOC,VSLOC
VS,VS_29_2011-10-24,PULSE.VSPOS,VSPOS
VS,VS_30_2011-10-24,PULSE.VSCLSIG,SUPPVS.QNAM
VS,VS_31_2011-10-24,TEMP.VSPERF,
VS,VS_32_2011-10-24,TEMP.VSORRES,VSORRES+VSORRESU
VS,VS_33_2011-10-24,TEMP.VSLOC,VSLOC
VS,VS_34_2011-10-24,TEMP.VSCLSIG,SUPPVS.QNAM
VS,VS_35_2011-10-24,FRMSIZE.VSPERF,
VS,VS_36_2011-10-24,FRMSIZE.VSORRES,VSORRES+VSORRESU
VS,,VSTESTCD,VSTESTCD
